cpu_percent,ram_percent,disk_read_delta,disk_write_delta,net_bytes_sent_delta,net_bytes_recv_delta,tcp_established,tcp_syn_sent,tcp_time_wait,top_process_cpu_percent,cpu_concentration_ratio,process_spawn_rate
0.30798479087452474,0.3272962483829237,2.6672227931199093e-05,0.00020212931795180074,3.175806100910771e-05,2.8158649316182657e-05,0.2825880114176974,0.0,0.40045506257110347,0.6551469034030859,0.04803258304542615,0.0
0.20785804816223072,0.32341526520051755,0.02733273310319611,0.03258858531883278,0.026882560960567823,0.025426895870044625,0.3006660323501427,0.0,0.45164960182025027,0.7970830691185795,0.08265707870281935,0.16666666666666666
0.15335868187579216,0.32470892626131964,0.029869429993487354,0.03305648608668583,0.015621578764522652,0.014845389889693769,0.2873453853472883,0.0,0.45278725824800903,0.8491862185584442,0.11517935898592027,0.0
0.14068441064638787,0.32600258732212173,0.029949971721137867,0.03318257855036095,0.015338066290389476,0.014587620757260254,0.26450999048525214,0.0,0.35722411831626844,0.8625026421475372,0.12596711118954557,0.05555555555555555
0.1749049429657795,0.32600258732212173,0.026063912118579263,0.029398136119794038,0.01524239315291417,0.01443905434583482,0.2511893434823977,0.0196078431372549,0.3560864618885096,0.8316423589093214,0.10049003209239923,0.0
0.18124207858048164,0.3285899094437258,0.027091527955330107,0.031306208278053665,0.03801416094218297,0.037053953992327936,0.269267364414843,0.0196078431372549,0.3959044368600682,0.8239272880997675,0.09651508672446467,0.0
0.18884664131812426,0.3182406209573092,0.06613294908523709,0.05367829474363662,0.03148263444077022,0.030133211058325948,0.22169362511893434,0.0196078431372549,0.5494880546075085,0.8165292749947155,0.09222694229476977,0.7222222222222222
0.03802281368821294,0.31565329883570503,0.0004231853486721746,0.0030469564520965433,0.02705017588061273,0.02645920093474962,0.28068506184586106,0.0,0.527872582480091,0.9643838511942506,0.3737626778552103,0.0
0.12167300380228138,0.30659767141009064,0.00014018670979586923,0.0019288094821532683,0.021591444324569643,0.02137710837516189,0.21217887725975262,0.0,0.4141069397042093,0.8812090467131684,0.14549809478651232,0.05555555555555555
0.25855513307984795,0.32470892626131964,0.019927304527747203,0.012932939308288685,0.015946247894289466,0.015286113949701663,0.2559467174119886,0.0,0.42548350398179746,0.7445571760727119,0.06338580144860223,0.05555555555555555
0.2610899873257288,0.32470892626131964,0.030021902729534998,0.03353058421570249,0.009709524277887752,0.009030326685698054,0.2702188392007612,0.0,0.3811149032992036,0.7403297400126823,0.06249339421483517,0.0
0.2661596958174905,0.32600258732212173,0.028183199142624384,0.030708401285809424,0.009479574655770583,0.008675532935832836,0.263558515699334,0.0,0.422070534698521,0.7361023039526526,0.061037454923091705,0.16666666666666666
0.29277566539923955,0.3272962483829237,0.029996280589317626,0.03221915704446893,0.010607651818132068,0.009824869689256395,0.28163653663177923,0.0,0.42434584755403865,0.7093637708729654,0.053879935188157,0.1111111111111111
0.20532319391634987,0.32600258732212173,0.030054035413578095,0.033053149046059264,0.03643664872467274,0.03565627268737994,0.2987630827783064,0.0,0.42889647326507396,0.7990911012470936,0.08379206168049882,0.1111111111111111
0.17237008871989865,0.33247089262613205,0.03079182704131276,0.03213859134934191,0.041444754796972294,0.04040686744980194,0.3273073263558516,0.0196078431372549,0.4607508532423208,0.8331219615303316,0.10199332294507964,0.05555555555555555
0.15969581749049433,0.32600258732212173,0.029555138740739013,0.03241076872544594,0.041235739987775466,0.04045826188935273,0.3235014272121789,0.0,0.44254835039817975,0.8453815261044177,0.11064427535789215,0.0
0.19391634980988595,0.33376455368693403,0.029916893958152325,0.0331189364184115,0.07847232326744577,0.07771410018769302,0.3016175071360609,0.058823529411764705,0.508532423208191,0.8123018389346861,0.08959691054498253,0.16666666666666666
0.20152091254752855,0.3350582147477361,0.030008566615569398,0.03269656241910656,0.06452651662707137,0.06365810112757372,0.3330161750713606,0.0,0.48464163822525597,0.8039526527161276,0.08570115379431452,0.0
